family,configuration,reference,mean_ap_difference,sd_ap_difference,min_ap_difference,max_ap_difference
boosting,raw_engineered,raw,0.0009666607023238183,0.0012592704927238331,-0.0006651270649057073,0.0025981391555617017
boosting,indicators,raw,-0.02582240173211593,0.005323781942273994,-0.030749816922335915,-0.017356600669950817
boosting,diagnosis_grouped,raw,0.005293412919714113,0.002833429822674373,0.0007688453505551862,0.008345691220429885
boosting,diagnosis_raw,raw,-0.006048448064041289,0.005999739359919586,-0.011700715166064524,0.0019243969445690845
boosting,diagnosis_raw,diagnosis_grouped,-0.011341860983755402,0.004270754739225998,-0.0164165101098023,-0.00488695152960672
logistic,raw_engineered,raw,-0.0010653616724141835,0.0014067425621121616,-0.002709949091292907,0.0006456477398293081
logistic,indicators,raw,-0.029925645974349963,0.005735127138215663,-0.036404168810568405,-0.02373861713887901
logistic,diagnosis_grouped,raw,2.180585324068063e-05,0.0013929020191583868,-0.0019569147682892973,0.0012259970774609885
logistic,diagnosis_raw,raw,0.0008364607468327068,0.006490409476176977,-0.007779324870882398,0.008183704206912112
logistic,diagnosis_raw,diagnosis_grouped,0.0008146548935920262,0.006170000245586356,-0.0068580624024572046,0.007427283864980011
