family,configuration,cv_average_precision_mean,cv_average_precision_sd,cv_roc_auc_mean,cv_roc_auc_sd,cv_brier_mean,cv_brier_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_ap_min,cv_ap_max,eligible,mlflow_run_id
logistic,raw,0.21219133414796953,0.00826527951599801,0.6577898526673206,0.008965792036456265,0.09511727845342585,0.0005498172942667249,0.02009067148753092,0.0035228287207125534,0.48775282688326166,0.09314712905634322,0.03851745013679099,0.006478159387066,0.20493095936758318,0.22646639740717606,True,afcee63c92154330ad152d2070f7b6f6
logistic,indicators,0.1822656881736196,0.006330956910718463,0.648795473322288,0.008635425187962653,0.09616905184081181,0.0004051229078675022,0.0005660711658062986,0.00059208621454631,0.35,0.4183300132670378,0.0011283551213218388,0.0011782830633432293,0.17317669754205095,0.1909030161353495,True,2fe48b4496e74121a6fbe29efdfbcc42
logistic,raw_engineered,0.21112597247555537,0.007796387673660544,0.6586524923421693,0.009322906630842892,0.09500769311416218,0.0005178766006224515,0.014572503656189095,0.0012820808091194326,0.48186530620607704,0.12148276606629067,0.02822917908306693,0.002284007295984376,0.20401506276383746,0.2242353034397231,True,c4c4ba3759f34523a55d57964a357ad3
logistic,diagnosis_grouped,0.21221314000121022,0.007699366503078957,0.6614284933120118,0.007920623366543537,0.09506983970923524,0.0005277774680873116,0.01994932887283269,0.0036564854564329246,0.4931574835689478,0.09262864580772444,0.038266385595350116,0.006726718295784371,0.20593574845110796,0.22554513493875084,False,9c4d7f55848e41ccbac76e232b5b4c77
logistic,diagnosis_raw,0.21302779489480222,0.006965476304603068,0.6582574921322824,0.004408938613539181,0.09505530701043333,0.0005042988912828543,0.024476396684254415,0.0017730813851180973,0.5306859244961528,0.10173943408403786,0.046697006186881045,0.0029574666447008896,0.2013706845977858,0.21868707253629363,False,b8644133b11f4e9dafad456600b348e4
boosting,raw,0.21877153772828156,0.004638309492506495,0.6625959633363502,0.008112959768546178,0.0945106119450717,0.00032633387531480734,0.009194877631530214,0.006103185005935776,0.5212979863827322,0.14615047663933708,0.017943150707659367,0.011656357248825439,0.21134677648476624,0.2230343436222894,True,fb5da930e8534f41970696cd0251ab01
boosting,indicators,0.19294913599616562,0.0037750687485036006,0.6548564729365438,0.007518667597964239,0.09561588673969967,0.0002669541366029639,0.0002829855324021938,0.0003874939392654356,0.16666666666666666,0.23570226039551584,0.0005649717514124294,0.0007736194315044719,0.18770315128461684,0.1980183959408142,True,02c80fbe7965463888dca5c64fafccd0
boosting,raw_engineered,0.21973819843060535,0.004828060268898452,0.6631051183615746,0.007752992111714701,0.09446420710834445,0.0003233774129082297,0.009477863163932409,0.00637549376945232,0.5070810564663024,0.14953272006041018,0.018478775291225907,0.012123483693603046,0.21167930417048758,0.2240677112224332,True,f17cbe4f27e647be97efdc8a1964b4b0
boosting,diagnosis_grouped,0.22406495064799564,0.006758005915346313,0.6678779739728247,0.005646748925960099,0.09422757537650447,0.0003272065761605835,0.01018557724744267,0.005304861422037017,0.5912917474682181,0.09992772050202324,0.019930215803224977,0.010193746940801076,0.21211562183532146,0.2282048994348509,False,6aac47aa3d9f460f94467256883eb69f
boosting,diagnosis_raw,0.2127230896642402,0.007983704391191577,0.6568154103173403,0.0033126936097618623,0.09500681412451488,0.0004265340274480884,0.013016133278477986,0.0010687838280818258,0.6052920179235968,0.16511470811216955,0.025449058628500432,0.0020321469731958883,0.1996460613187017,0.22061980605019027,False,158100305e884ec694c74ac1aea6922d
