model,reference,ap_difference,brier_difference,ap_ci_low,ap_ci_high,brier_ci_low,brier_ci_high
logistic__sigmoid,logistic__uncalibrated,0.0,-1.0134881137963125e-05,0.0,0.0,-2.327944423728516e-05,2.77962918215184e-06
logistic__isotonic,logistic__uncalibrated,-0.006002286908657534,-0.00023552644554762636,-0.00825390385446675,-0.003832243695316494,-0.00043245751413013844,-5.572444896293876e-05
boosting__sigmoid,boosting__uncalibrated,0.0,1.589415388644766e-05,0.0,0.0,-4.925076427076923e-05,7.218308905153242e-05
boosting__isotonic,boosting__uncalibrated,-0.006209503382588993,0.00014437545869572244,-0.008237355274945133,-0.00426295607001048,2.147929559111368e-05,0.00026358671900737513
boosting__uncalibrated,logistic__uncalibrated,0.0019406614796773913,-0.0004612480686225634,-0.0042727348330644154,0.008385434423460804,-0.0008396565810326863,-0.00011596480350573947
logistic__uncalibrated,phase3_logistic_raw,0.0003704402680320684,-1.7854414035553545e-05,-0.00026113666177010467,0.0010092829103883559,-5.3013503688224134e-05,1.694883660600908e-05
boosting__uncalibrated,phase3_boosting,-0.0034587614072509043,0.00010698447357875007,-0.007770508544200832,0.0009016283799967316,-8.262331486652841e-05,0.00029230430474518206
phase3_boosting,logistic__uncalibrated,0.005399422886928296,-0.0005682325422013135,-0.0011597926070377536,0.01220868483250981,-0.0009538760690510989,-0.00022569440045794176
forest__uncalibrated,logistic__uncalibrated,0.0029090602913664776,-0.00026767607577980745,-0.003897278241032923,0.011558965805580817,-0.0007304192261515116,0.00021320197337870356
